"[0.18180805444717407, 0.06361428648233414, 0.29764285683631897]","[0.2880973517894745, 0.12798571586608887, 0.5171428322792053]","[0.09053555876016617, 0.0340714268386364, 0.2955856919288635]","[0.21506047248840332, 0.10978571325540543, 0.36008569598197937]","[0.20851987600326538, 0.12528571486473083, 0.35827142000198364]","[0.19531375169754028, 0.09699999541044235, 0.33662858605384827]","[0.18812671303749084, 0.08002857118844986, 0.3353428542613983]","[0.15240441262722015, 0.06394285708665848, 0.29829999804496765]","[0.15786190330982208, 0.09918571263551712, 0.22125713527202606]","[0.19951647520065308, 0.13198570907115936, 0.303428590297699]","[0.16389109194278717, 0.058071427047252655, 0.3092713952064514]","[0.16184628009796143, 0.10414285212755203, 0.2476428598165512]","[0.17880849540233612, 0.10750000178813934, 0.3035857081413269]","[0.2567204236984253, 0.1370571404695511, 0.4145142734050751]","[0.23759642243385315, 0.09461428225040436, 0.4327285587787628]","[0.15109579265117645, 0.05687142536044121, 0.2652571499347687]","[0.17526696622371674, 0.014833332039415836, 0.30084285140037537]","[0.17359040677547455, 0.04701428487896919, 0.4237000048160553]","[0.23467572033405304, 0.1283142864704132, 0.39065712690353394]","[0.10266343504190445, 0.03725714236497879, 0.22684285044670105]","[0.22276383638381958, 0.08377142250537872, 0.3528571128845215]","[0.20787444710731506, 0.05772856995463371, 0.3813142776489258]","[0.16775406897068024, 0.054571427404880524, 0.3146999776363373]","[0.2673887610435486, 0.13250000774860382, 0.47284284234046936]","[0.30287835001945496, 0.20319999754428864, 0.42974284291267395]"
"[0.06896290183067322, 0.016699999570846558, 0.1274428516626358]","[0.09915412962436676, 0.02078571356832981, 0.22220000624656677]","[0.04054930806159973, 0.0166285689920187, 0.08265714347362518]","[0.1330886334180832, 0.0381428562104702, 0.28852859139442444]","[0.05889565125107765, 0.015214285813272, 0.1387142837047577]","[0.0478312186896801, 0.009042857214808464, 0.17818570137023926]","[0.11864937841892242, 0.0438285730779171, 0.17967142164707184]","[0.10833892971277237, 0.026185715571045876, 0.21398571133613586]","[0.05361490696668625, 0.011114285327494144, 0.13269999623298645]","[0.034537360072135925, 0.005142856854945421, 0.10982856899499893]","[0.06258079409599304, 0.03562856838107109, 0.0909285694360733]","[0.09252142906188965, 0.04697142913937569, 0.1743714064359665]","[0.09244319051504135, 0.04359999671578407, 0.17790000140666962]","[0.12361690402030945, 0.059457141906023026, 0.2206714153289795]","[0.03433281183242798, 0.010528570972383022, 0.12185714393854141]","[0.08167226612567902, 0.05054285749793053, 0.14748571813106537]","[0.04880139231681824, 0.015957143157720566, 0.1500857025384903]","[0.06089961901307106, 0.016671428456902504, 0.16418571770191193]","[0.054266203194856644, 0.020014284178614616, 0.13981428742408752]","[0.05169128254055977, 0.030214283615350723, 0.11954285204410553]","[0.10687711834907532, 0.03378571197390556, 0.27462857961654663]","[0.13551290333271027, 0.03067142888903618, 0.2935999929904938]","[0.06684045493602753, 0.021385714411735535, 0.15274286270141602]","[0.11023728549480438, 0.02329999767243862, 0.2620571255683899]","[0.05844900757074356, 0.018528569489717484, 0.16207143664360046]"
"[0.19644741714000702, 0.09068571031093597, 0.32767143845558167]","[0.24930879473686218, 0.10610000044107437, 0.41915711760520935]","[0.18214331567287445, 0.10835713893175125, 0.27471426129341125]","[0.25669628381729126, 0.12368571013212204, 0.4636428654193878]","[0.23602856695652008, 0.16434285044670105, 0.32184284925460815]","[0.2200334370136261, 0.08499999344348907, 0.4260249733924866]","[0.20510636270046234, 0.11720000207424164, 0.3098714351654053]","[0.23588208854198456, 0.10652857273817062, 0.41237497329711914]","[0.2296634316444397, 0.13352856040000916, 0.3475143015384674]","[0.21806977689266205, 0.10187143087387085, 0.3174428641796112]","[0.18696042895317078, 0.08407142013311386, 0.27158573269844055]","[0.18660686910152435, 0.05332856997847557, 0.2783142924308777]","[0.24318300187587738, 0.14869999885559082, 0.33319997787475586]","[0.24458588659763336, 0.09814285486936569, 0.418828547000885]","[0.21510133147239685, 0.09624285250902176, 0.3463999927043915]","[0.19652584195137024, 0.10395713895559311, 0.30808570981025696]","[0.20705455541610718, 0.044999998062849045, 0.36322498321533203]","[0.21618929505348206, 0.10675714910030365, 0.3053571581840515]","[0.24785283207893372, 0.17272856831550598, 0.34298568964004517]","[0.1575862020254135, 0.047842856496572495, 0.3228714168071747]","[0.24425853788852692, 0.10175713151693344, 0.39149999618530273]","[0.29837167263031006, 0.11869999021291733, 0.46217140555381775]","[0.1602194905281067, 0.02987142838537693, 0.2842285633087158]","[0.28126823902130127, 0.16765713691711426, 0.4854428470134735]","[0.2615916430950165, 0.1827000081539154, 0.39097142219543457]"
"[0.47313469648361206, 0.24124285578727722, 0.6992856860160828]","[0.5017346739768982, 0.2955428659915924, 0.6592571139335632]","[0.4618110954761505, 0.2174571454524994, 0.6701999306678772]","[0.44856688380241394, 0.31929999589920044, 0.637485682964325]","[0.5188043713569641, 0.38431426882743835, 0.6589571237564087]","[0.38483086228370667, 0.20564284920692444, 0.5864999890327454]","[0.6408133506774902, 0.4892856776714325, 0.7542285323143005]","[0.4483283758163452, 0.3134571611881256, 0.633899986743927]","[0.37476855516433716, 0.251628577709198, 0.5835142731666565]","[0.43077388405799866, 0.21547141671180725, 0.6770142912864685]","[0.46790874004364014, 0.23792855441570282, 0.6513285636901855]","[0.637907087802887, 0.2825857102870941, 0.8011999726295471]","[0.4519908130168915, 0.30052855610847473, 0.6154142618179321]","[0.6386387348175049, 0.38658571243286133, 0.7838428616523743]","[0.428358256816864, 0.32821425795555115, 0.6259713768959045]","[0.5131485462188721, 0.29758572578430176, 0.6745857000350952]","[0.38047271966934204, 0.2936428189277649, 0.5309999585151672]","[0.5145108103752136, 0.272857129573822, 0.7404285073280334]","[0.4995271563529968, 0.37052854895591736, 0.6196714043617249]","[0.38264116644859314, 0.13095714151859283, 0.6570428609848022]","[0.43486279249191284, 0.29649999737739563, 0.575657069683075]","[0.5030883550643921, 0.32648569345474243, 0.6406142115592957]","[0.4528256356716156, 0.16297142207622528, 0.723185658454895]","[0.45288360118865967, 0.32347139716148376, 0.590499997138977]","[0.4602345824241638, 0.3188714385032654, 0.5533000230789185]"
"[0.2474980354309082, 0.05882856622338295, 0.4538142681121826]","[0.211989164352417, 0.06514285504817963, 0.4007285535335541]","[0.1096917912364006, 0.0263714287430048, 0.3368428349494934]","[0.25059473514556885, 0.12049999088048935, 0.4137714207172394]","[0.1563093215227127, 0.06967142969369888, 0.2775142788887024]","[0.18132372200489044, 0.07411428540945053, 0.39577144384384155]","[0.25015774369239807, 0.08822856843471527, 0.47017142176628113]","[0.2889222204685211, 0.12549999356269836, 0.42241427302360535]","[0.20480535924434662, 0.1242285743355751, 0.35522857308387756]","[0.16906894743442535, 0.07175713777542114, 0.28841426968574524]","[0.12887422740459442, 0.01818571425974369, 0.29819998145103455]","[0.17470185458660126, 0.058871425688266754, 0.33484286069869995]","[0.18261535465717316, 0.10008571296930313, 0.2890571653842926]","[0.25900253653526306, 0.09828571230173111, 0.4884285628795624]","[0.1597866266965866, 0.05738571286201477, 0.3059000074863434]","[0.16616427898406982, 0.02994285710155964, 0.2822714149951935]","[0.24642686545848846, 0.08388571441173553, 0.40359997749328613]","[0.2702135145664215, 0.0519714280962944, 0.46219998598098755]","[0.17539511620998383, 0.09612856805324554, 0.31287142634391785]","[0.12385883182287216, 0.025028571486473083, 0.2574999928474426]","[0.15526539087295532, 0.0551857128739357, 0.33972856402397156]","[0.2190142720937729, 0.10818570852279663, 0.33482855558395386]","[0.17575393617153168, 0.052299998700618744, 0.41682857275009155]","[0.19195964932441711, 0.07677143067121506, 0.31797143816947937]","[0.2224908471107483, 0.14880000054836273, 0.3326999843120575]"
"[0.28482797741889954, 0.12841428816318512, 0.4577856957912445]","[0.41608595848083496, 0.25111427903175354, 0.6293571591377258]","[0.20533312857151031, 0.04904285445809364, 0.4643142521381378]","[0.33595937490463257, 0.1931142807006836, 0.5655285716056824]","[0.35534965991973877, 0.25045713782310486, 0.4632714092731476]","[0.31851786375045776, 0.11064285039901733, 0.4917142689228058]","[0.4509294927120209, 0.3344428539276123, 0.5581285357475281]","[0.37181955575942993, 0.2458857148885727, 0.5433571338653564]","[0.38459542393684387, 0.26819998025894165, 0.5654857158660889]","[0.39269861578941345, 0.23482857644557953, 0.5261856913566589]","[0.2744618058204651, 0.10698570311069489, 0.44940000772476196]","[0.3545163869857788, 0.19432856142520905, 0.48334285616874695]","[0.39173194766044617, 0.2525571286678314, 0.5566571354866028]","[0.40475985407829285, 0.21570000052452087, 0.5374571084976196]","[0.4984886050224304, 0.36242857575416565, 0.6755285263061523]","[0.30017584562301636, 0.14677143096923828, 0.49385711550712585]","[0.348712682723999, 0.07463333755731583, 0.5212714076042175]","[0.3293968439102173, 0.09075713902711868, 0.4991285502910614]","[0.38361668586730957, 0.20097140967845917, 0.6225428581237793]","[0.20845171809196472, 0.059357140213251114, 0.37705713510513306]","[0.347168892621994, 0.15069998800754547, 0.495199978351593]","[0.4573037028312683, 0.3513714373111725, 0.5933285355567932]","[0.2992061376571655, 0.05187142640352249, 0.5142571330070496]","[0.4596407413482666, 0.28524285554885864, 0.6170857548713684]","[0.3978514075279236, 0.23324285447597504, 0.5195428133010864]"
"[0.46939319372177124, 0.25215715169906616, 0.6387428641319275]","[0.5161353945732117, 0.3831999897956848, 0.6477285623550415]","[0.5150701999664307, 0.19432856142520905, 0.6763428449630737]","[0.45759737491607666, 0.30327144265174866, 0.6232714056968689]","[0.5132937431335449, 0.3678714334964752, 0.6587571501731873]","[0.4974227547645569, 0.3398285508155823, 0.6294999718666077]","[0.5828644037246704, 0.46961426734924316, 0.6762999892234802]","[0.5472021698951721, 0.3822571337223053, 0.6916285157203674]","[0.34425440430641174, 0.24711428582668304, 0.5139999985694885]","[0.575717568397522, 0.3986856937408447, 0.7118714451789856]","[0.572629988193512, 0.2856857180595398, 0.6843714118003845]","[0.6100102663040161, 0.4674428403377533, 0.7102571129798889]","[0.40485477447509766, 0.2320999950170517, 0.5629000067710876]","[0.6112470030784607, 0.5260857343673706, 0.7112714052200317]","[0.5324638485908508, 0.3666999936103821, 0.6587142944335938]","[0.5897907614707947, 0.42388567328453064, 0.7131714224815369]","[0.4708188772201538, 0.35582855343818665, 0.7269999980926514]","[0.5758786797523499, 0.3228142559528351, 0.7626857161521912]","[0.4624612629413605, 0.30397143959999084, 0.5918142199516296]","[0.5085092186927795, 0.2737142741680145, 0.7168428301811218]","[0.47813287377357483, 0.3140714168548584, 0.6485999822616577]","[0.5193213224411011, 0.34204286336898804, 0.6475714445114136]","[0.516811192035675, 0.19631429016590118, 0.7470000386238098]","[0.4649149477481842, 0.3075857162475586, 0.6388428807258606]","[0.44563692808151245, 0.3439857065677643, 0.6079000234603882]"
"[0.38490718603134155, 0.2070571333169937, 0.6532856822013855]","[0.4314452111721039, 0.22792856395244598, 0.6294856667518616]","[0.3670227825641632, 0.15722857415676117, 0.6605285406112671]","[0.3289337158203125, 0.20817141234874725, 0.5086142420768738]","[0.39426955580711365, 0.2583142817020416, 0.5757142305374146]","[0.4463355541229248, 0.26267141103744507, 0.5978285670280457]","[0.3551352620124817, 0.197299987077713, 0.4602142870426178]","[0.45791640877723694, 0.29652857780456543, 0.6416571736335754]","[0.2308642864227295, 0.10267142951488495, 0.3636142909526825]","[0.45918065309524536, 0.34704285860061646, 0.620614230632782]","[0.40329694747924805, 0.26570001244544983, 0.6303285956382751]","[0.3896317183971405, 0.24455714225769043, 0.5287999510765076]","[0.25863587856292725, 0.13409999012947083, 0.3994285762310028]","[0.42273399233818054, 0.21142856776714325, 0.5847428441047668]","[0.3307495415210724, 0.2239714413881302, 0.4731285572052002]","[0.47443339228630066, 0.27294284105300903, 0.6376857161521912]","[0.37337350845336914, 0.25205713510513306, 0.5473142862319946]","[0.40993010997772217, 0.14094285666942596, 0.6365857124328613]","[0.31124886870384216, 0.1711428463459015, 0.43465712666511536]","[0.3611067831516266, 0.19301427900791168, 0.5430428385734558]","[0.3544606864452362, 0.19175712764263153, 0.5271857380867004]","[0.4064704477787018, 0.28857141733169556, 0.5792713761329651]","[0.4238305389881134, 0.15537142753601074, 0.6523428559303284]","[0.3956314027309418, 0.30058571696281433, 0.5414285659790039]","[0.3515118360519409, 0.2296999841928482, 0.503585696220398]"
"[0.5298125147819519, 0.36014285683631897, 0.6891713738441467]","[0.6376098394393921, 0.5233428478240967, 0.7335714101791382]","[0.5902349948883057, 0.4316571354866028, 0.7132285833358765]","[0.5304823517799377, 0.4163999855518341, 0.634071409702301]","[0.540804922580719, 0.3953142762184143, 0.6529142260551453]","[0.6201266646385193, 0.5361571311950684, 0.713614284992218]","[0.5879021286964417, 0.44747141003608704, 0.6807142496109009]","[0.5035762190818787, 0.32341426610946655, 0.6678142547607422]","[0.4193969964981079, 0.23518571257591248, 0.5469285845756531]","[0.5766453146934509, 0.42659997940063477, 0.7223571538925171]","[0.6273009777069092, 0.4407285749912262, 0.7700999975204468]","[0.6516457200050354, 0.5561285614967346, 0.7722428441047668]","[0.4924323260784149, 0.283385694026947, 0.6631428003311157]","[0.639132559299469, 0.4820857048034668, 0.7364000082015991]","[0.6851406097412109, 0.5187714099884033, 0.7888856530189514]","[0.6276111006736755, 0.44905713200569153, 0.7474285364151001]","[0.5663855671882629, 0.4406428635120392, 0.708716630935669]","[0.5592425465583801, 0.3197999894618988, 0.713785707950592]","[0.6258350014686584, 0.38442856073379517, 0.769342839717865]","[0.5794031620025635, 0.2912428677082062, 0.7257142663002014]","[0.5667827129364014, 0.4547285735607147, 0.6950713992118835]","[0.6237179636955261, 0.507271409034729, 0.7320857048034668]","[0.5484233498573303, 0.320757120847702, 0.7220999598503113]","[0.5979048013687134, 0.4263142943382263, 0.7424570918083191]","[0.6601546406745911, 0.4787428677082062, 0.7439999580383301]"
"[0.23707619309425354, 0.1160999983549118, 0.38857144117355347]","[0.24782893061637878, 0.14007142186164856, 0.42007139325141907]","[0.270455002784729, 0.14251427352428436, 0.42877140641212463]","[0.20468200743198395, 0.1071571484208107, 0.3373856842517853]","[0.24418073892593384, 0.0812142863869667, 0.41760000586509705]","[0.3092367649078369, 0.14255714416503906, 0.46433329582214355]","[0.3678704798221588, 0.21522857248783112, 0.5151571035385132]","[0.26268303394317627, 0.10127142816781998, 0.45492857694625854]","[0.31154969334602356, 0.21195712685585022, 0.4878999888896942]","[0.27548378705978394, 0.10445713996887207, 0.4960857033729553]","[0.2695908546447754, 0.1209428459405899, 0.40794286131858826]","[0.27359893918037415, 0.07970000058412552, 0.4762285351753235]","[0.2984394431114197, 0.17709998786449432, 0.42639997601509094]","[0.27556300163269043, 0.09265714138746262, 0.40135714411735535]","[0.2944292426109314, 0.15325713157653809, 0.42725712060928345]","[0.23311805725097656, 0.1511000096797943, 0.36315712332725525]","[0.3124311864376068, 0.13769999146461487, 0.4659857153892517]","[0.2636467516422272, 0.09778571128845215, 0.44441428780555725]","[0.29409071803092957, 0.15627142786979675, 0.39967140555381775]","[0.19918668270111084, 0.05447142943739891, 0.423799991607666]","[0.24449464678764343, 0.15572857856750488, 0.35844284296035767]","[0.2749099135398865, 0.14352856576442719, 0.3921285569667816]","[0.26786914467811584, 0.06965713948011398, 0.4722142815589905]","[0.2384760081768036, 0.10734285414218903, 0.3440571427345276]","[0.27936044335365295, 0.15971426665782928, 0.39972856640815735]"
"[0.2959776818752289, 0.1581428498029709, 0.547428548336029]","[0.3081454932689667, 0.16489998996257782, 0.46448567509651184]","[0.3459863066673279, 0.19591426849365234, 0.5179857015609741]","[0.2537817656993866, 0.13192856311798096, 0.36797142028808594]","[0.3278471827507019, 0.19512857496738434, 0.4454856812953949]","[0.42114150524139404, 0.309157133102417, 0.5488428473472595]","[0.353044718503952, 0.24629999697208405, 0.45975711941719055]","[0.35971659421920776, 0.20252856612205505, 0.5834856629371643]","[0.3688510060310364, 0.24312856793403625, 0.4853428304195404]","[0.4277985990047455, 0.2911857068538666, 0.5641142725944519]","[0.3871091306209564, 0.1995571404695511, 0.5289285778999329]","[0.37430712580680847, 0.1801142692565918, 0.5599571466445923]","[0.33598265051841736, 0.1866714209318161, 0.4918000102043152]","[0.35219085216522217, 0.2272428423166275, 0.5001571774482727]","[0.37460067868232727, 0.2693999707698822, 0.5280285477638245]","[0.36644285917282104, 0.23275712132453918, 0.5565999746322632]","[0.3945584297180176, 0.22919999063014984, 0.5178857445716858]","[0.34886330366134644, 0.1550285667181015, 0.592199981212616]","[0.4428628087043762, 0.2287714183330536, 0.6289571523666382]","[0.42586514353752136, 0.2483571469783783, 0.5769571661949158]","[0.277181476354599, 0.17411427199840546, 0.39212852716445923]","[0.3550204336643219, 0.23761427402496338, 0.4770428538322449]","[0.4300835430622101, 0.2603285610675812, 0.6301999688148499]","[0.38706856966018677, 0.26024284958839417, 0.5796285271644592]","[0.4111610949039459, 0.2587571442127228, 0.5549857020378113]"
"[0.2071276754140854, 0.07724285125732422, 0.38011428713798523]","[0.23841342329978943, 0.13978570699691772, 0.35244283080101013]","[0.1785697489976883, 0.05347142368555069, 0.3930285573005676]","[0.18951180577278137, 0.07987142354249954, 0.27321428060531616]","[0.18905961513519287, 0.11048571765422821, 0.3385142683982849]","[0.1853322684764862, 0.085242860019207, 0.32005712389945984]","[0.20700545608997345, 0.10185714066028595, 0.35422855615615845]","[0.20050767064094543, 0.07419999688863754, 0.3537571132183075]","[0.23934702575206757, 0.12537142634391785, 0.40369996428489685]","[0.1815236210823059, 0.08782856911420822, 0.2797571122646332]","[0.18738801777362823, 0.11232857406139374, 0.2993714213371277]","[0.17445820569992065, 0.1063714250922203, 0.2704285681247711]","[0.2353176772594452, 0.15631428360939026, 0.40042856335639954]","[0.21127258241176605, 0.09188570827245712, 0.33977141976356506]","[0.23372365534305573, 0.15757142007350922, 0.3660857081413269]","[0.24142205715179443, 0.13989999890327454, 0.3975856900215149]","[0.18922004103660583, 0.06341428309679031, 0.3782999813556671]","[0.20801396667957306, 0.05142856761813164, 0.3513142764568329]","[0.2790766954421997, 0.1638428419828415, 0.46887141466140747]","[0.15327142179012299, 0.0860571339726448, 0.24718569219112396]","[0.19686856865882874, 0.07331428676843643, 0.32247141003608704]","[0.22257265448570251, 0.10744285583496094, 0.358599990606308]","[0.15693190693855286, 0.07737142592668533, 0.26094284653663635]","[0.2464262694120407, 0.13415713608264923, 0.3539714217185974]","[0.2666522264480591, 0.17084285616874695, 0.36224284768104553]"
"[0.42011699080467224, 0.2549999952316284, 0.6037285923957825]","[0.35477158427238464, 0.23501427471637726, 0.5185999870300293]","[0.4298497140407562, 0.1468714326620102, 0.6363000273704529]","[0.4150300920009613, 0.27074283361434937, 0.5372571349143982]","[0.2602819800376892, 0.19435712695121765, 0.3848857283592224]","[0.35267871618270874, 0.25105711817741394, 0.4579285979270935]","[0.3505997061729431, 0.22217142581939697, 0.4997571110725403]","[0.429002583026886, 0.27571427822113037, 0.6155714392662048]","[0.3023662269115448, 0.20117142796516418, 0.3595714271068573]","[0.32127171754837036, 0.22909998893737793, 0.4292857348918915]","[0.4366168677806854, 0.2071142941713333, 0.6386713981628418]","[0.3076036870479584, 0.15299999713897705, 0.5327857136726379]","[0.31193944811820984, 0.1889857053756714, 0.49455711245536804]","[0.40345269441604614, 0.2880714237689972, 0.5178714394569397]","[0.3978337049484253, 0.29731425642967224, 0.5873285531997681]","[0.439601868391037, 0.29271429777145386, 0.5787142515182495]","[0.4382200539112091, 0.28772857785224915, 0.6612999439239502]","[0.43262219429016113, 0.216671422123909, 0.589985728263855]","[0.4173419773578644, 0.30068570375442505, 0.5380571484565735]","[0.3311631679534912, 0.1046999916434288, 0.6049857139587402]","[0.4170742332935333, 0.3041571080684662, 0.5221571326255798]","[0.41545218229293823, 0.2712428569793701, 0.531499981880188]","[0.372060090303421, 0.14871427416801453, 0.5220571160316467]","[0.4149583876132965, 0.27964285016059875, 0.5318999886512756]","[0.34187251329421997, 0.2338285744190216, 0.4684285521507263]"
